TriangleID, VertexID1, VertexID2, VertexID3, X1, Y1, Z1, GaussianCurvature1, MeanCurvature1,  X2, Y2, Z2, GaussianCurvature2, MeanCurvature2, X3, Y3, Z3, GaussianCurvature3, MeanCurvature3
0, 0, 1, 2, 24, 10.9554, 0, -0.53242, -0.101179, 24, 10.9554, 1, -0.0180433, -0.0469146, 23.8762, 11, 1, 0.00175635, -0.0546356
1, 3, 0, 2, 23.8762, 11, 0, 0.000625668, -0.0521202, 24, 10.9554, 0, -0.53242, -0.101179, 23.8762, 11, 1, 0.00175635, -0.0546356
2, 4, 5, 0, 25, 10.6658, 0, 0.00488693, -0.0766326, 25, 10.6658, 1, 0.00163344, -0.0500151, 24, 10.9554, 0, -0.53242, -0.101179
3, 0, 5, 1, 24, 10.9554, 0, -0.53242, -0.101179, 25, 10.6658, 1, 0.00163344, -0.0500151, 24, 10.9554, 1, -0.0180433, -0.0469146
4, 6, 7, 4, 26, 10.4427, 0, -0.000911553, -0.0377726, 26, 10.4427, 1, 0.00360579, -0.0743868, 25, 10.6658, 0, 0.00488693, -0.0766326
5, 4, 7, 5, 25, 10.6658, 0, 0.00488693, -0.0766326, 26, 10.4427, 1, 0.00360579, -0.0743868, 25, 10.6658, 1, 0.00163344, -0.0500151
6, 8, 9, 6, 27, 10.2697, 0, -0.00409782, -0.0578427, 27, 10.2697, 1, -0.00177917, -0.0619265, 26, 10.4427, 0, -0.000911553, -0.0377726
7, 6, 9, 7, 26, 10.4427, 0, -0.000911553, -0.0377726, 27, 10.2697, 1, -0.00177917, -0.0619265, 26, 10.4427, 1, 0.00360579, -0.0743868
8, 10, 11, 8, 28, 10.1429, 0, -0.00889659, -0.0815027, 28, 10.1429, 1, 0.000177311, -0.107537, 27, 10.2697, 0, -0.00409782, -0.0578427
9, 8, 11, 9, 27, 10.2697, 0, -0.00409782, -0.0578427, 28, 10.1429, 1, 0.000177311, -0.107537, 27, 10.2697, 1, -0.00177917, -0.0619265
