TriangleID, VertexID1, VertexID2, VertexID3, X1, Y1, Z1, GaussianCurvature1, MeanCurvature1,  X2, Y2, Z2, GaussianCurvature2, MeanCurvature2, X3, Y3, Z3, GaussianCurvature3, MeanCurvature3
0, 0, 1, 2, 24, 10.9567, 0, 0.048904, -0.288228, 24, 10.9567, 1, 0.0871721, -0.299175, 23.8764, 11, 1, 0.134487, -0.42714
1, 3, 0, 2, 23.8764, 11, 0, -0.000102707, -0.0581519, 24, 10.9567, 0, 0.048904, -0.288228, 23.8764, 11, 1, 0.134487, -0.42714
2, 4, 5, 0, 25, 10.6684, 0, -0.00559992, -0.0315178, 25, 10.6684, 1, -0.00546527, -0.0012149, 24, 10.9567, 0, 0.048904, -0.288228
3, 0, 5, 1, 24, 10.9567, 0, 0.048904, -0.288228, 25, 10.6684, 1, -0.00546527, -0.0012149, 24, 10.9567, 1, 0.0871721, -0.299175
4, 6, 7, 4, 26, 10.4416, 0, -0.014539, -0.00351597, 26, 10.4416, 1, -0.00550397, -0.0708238, 25, 10.6684, 0, -0.00559992, -0.0315178
5, 4, 7, 5, 25, 10.6684, 0, -0.00559992, -0.0315178, 26, 10.4416, 1, -0.00550397, -0.0708238, 25, 10.6684, 1, -0.00546527, -0.0012149
6, 8, 9, 6, 27, 10.2663, 0, -0.00246076, -0.0744813, 27, 10.2663, 1, 0.00115924, -0.04983, 26, 10.4416, 0, -0.014539, -0.00351597
7, 6, 9, 7, 26, 10.4416, 0, -0.014539, -0.00351597, 27, 10.2663, 1, 0.00115924, -0.04983, 26, 10.4416, 1, -0.00550397, -0.0708238
8, 10, 11, 8, 28, 10.1396, 0, 0.000150473, -0.0655965, 28, 10.1396, 1, 0.000882919, -0.0500694, 27, 10.2663, 0, -0.00246076, -0.0744813
9, 8, 11, 9, 27, 10.2663, 0, -0.00246076, -0.0744813, 28, 10.1396, 1, 0.000882919, -0.0500694, 27, 10.2663, 1, 0.00115924, -0.04983
10, 12, 13, 10, 29, 10.0626, 0, -0.00426518, -0.00954686, 29, 10.0626, 1, -0.00248131, 0.0167812, 28, 10.1396, 0, 0.000150473, -0.0655965
11, 10, 13, 11, 28, 10.1396, 0, 0.000150473, -0.0655965, 29, 10.0626, 1, -0.00248131, 0.0167812, 28, 10.1396, 1, 0.000882919, -0.0500694
12, 14, 15, 12, 30, 10.0366, 0, -0.00243691, 0.0254616, 30, 10.0366, 1, -0.00047614, -0.000960419, 29, 10.0626, 0, -0.00426518, -0.00954686
13, 12, 15, 13, 29, 10.0626, 0, -0.00426518, -0.00954686, 30, 10.0366, 1, -0.00047614, -0.000960419, 29, 10.0626, 1, -0.00248131, 0.0167812
14, 16, 17, 14, 31, 10.0626, 0, -0.00270584, -0.0270463, 31, 10.0626, 1, 0.000697157, -0.0291244, 30, 10.0366, 0, -0.00243691, 0.0254616
15, 14, 17, 15, 30, 10.0366, 0, -0.00243691, 0.0254616, 31, 10.0626, 1, 0.000697157, -0.0291244, 30, 10.0366, 1, -0.00047614, -0.000960419
16, 18, 19, 16, 32, 10.1396, 0, -9.96038e-05, 0.0131003, 32, 10.1396, 1, -0.00497518, 0.0150105, 31, 10.0626, 0, -0.00270584, -0.0270463
17, 16, 19, 17, 31, 10.0626, 0, -0.00270584, -0.0270463, 32, 10.1396, 1, -0.00497518, 0.0150105, 31, 10.0626, 1, 0.000697157, -0.0291244
18, 20, 21, 18, 33, 10.2663, 0, -0.0018436, -0.0406156, 33, 10.2663, 1, -0.00192931, -0.043685, 32, 10.1396, 0, -9.96038e-05, 0.0131003
19, 18, 21, 19, 32, 10.1396, 0, -9.96038e-05, 0.0131003, 33, 10.2663, 1, -0.00192931, -0.043685, 32, 10.1396, 1, -0.00497518, 0.0150105
20, 22, 23, 20, 34, 10.4416, 0, -0.0136016, -0.0573221, 34, 10.4416, 1, 0.0190372, -0.142421, 33, 10.2663, 0, -0.0018436, -0.0406156
21, 20, 23, 21, 33, 10.2663, 0, -0.0018436, -0.0406156, 34, 10.4416, 1, 0.0190372, -0.142421, 33, 10.2663, 1, -0.00192931, -0.043685
22, 24, 25, 22, 35, 10.6684, 0, -0.00688931, -0.0359895, 35, 10.6684, 1, -0.00497354, -0.0292754, 34, 10.4416, 0, -0.0136016, -0.0573221
23, 22, 25, 23, 34, 10.4416, 0, -0.0136016, -0.0573221, 35, 10.6684, 1, -0.00497354, -0.0292754, 34, 10.4416, 1, 0.0190372, -0.142421
24, 26, 27, 24, 36, 10.9567, 0, -0.000766239, -0.0302362, 36, 10.9567, 1, -0.00579547, -0.101669, 35, 10.6684, 0, -0.00688931, -0.0359895
25, 24, 27, 25, 35, 10.6684, 0, -0.00688931, -0.0359895, 36, 10.9567, 1, -0.00579547, -0.101669, 35, 10.6684, 1, -0.00497354, -0.0292754
26, 27, 26, 28, 36, 10.9567, 1, -0.00579547, -0.101669, 36, 10.9567, 0, -0.000766239, -0.0302362, 36.1236, 11, 0, -0.011668, -0.224473
27, 29, 27, 28, 36.1236, 11, 1, 0.00276926, -0.249127, 36, 10.9567, 1, -0.00579547, -0.101669, 36.1236, 11, 0, -0.011668, -0.224473
28, 30, 31, 32, 22, 11.7057, 0, -0.016887, -0.264153, 22, 11.7057, 1, -0.0272448, -0.261225, 21.3754, 12, 1, -0.0121986, -0.222009
29, 33, 30, 32, 21.3754, 12, 0, -0.00872976, -0.233616, 22, 11.7057, 0, -0.016887, -0.264153, 21.3754, 12, 1, -0.0121986, -0.222009
30, 34, 35, 30, 23, 11.3069, 0, 0.0260533, -0.227347, 23, 11.3069, 1, 0.023539, -0.216377, 22, 11.7057, 0, -0.016887, -0.264153
31, 30, 35, 31, 22, 11.7057, 0, -0.016887, -0.264153, 23, 11.3069, 1, 0.023539, -0.216377, 22, 11.7057, 1, -0.0272448, -0.261225
32, 2, 34, 3, 23.8764, 11, 1, 0.134487, -0.42714, 23, 11.3069, 0, 0.0260533, -0.227347, 23.8764, 11, 0, -0.000102707, -0.0581519
33, 35, 34, 2, 23, 11.3069, 1, 0.023539, -0.216377, 23, 11.3069, 0, 0.0260533, -0.227347, 23.8764, 11, 1, 0.134487, -0.42714
34, 28, 36, 29, 36.1236, 11, 0, -0.011668, -0.224473, 37, 11.3069, 1, 0.00346184, -0.193718, 36.1236, 11, 1, 0.00276926, -0.249127
35, 37, 36, 28, 37, 11.3069, 0, 0.0180878, -0.195011, 37, 11.3069, 1, 0.00346184, -0.193718, 36.1236, 11, 0, -0.011668, -0.224473
36, 38, 39, 37, 38, 11.7057, 0, 0.0242995, -0.212993, 38, 11.7057, 1, 0.0320235, -0.23313, 37, 11.3069, 0, 0.0180878, -0.195011
37, 37, 39, 36, 37, 11.3069, 0, 0.0180878, -0.195011, 38, 11.7057, 1, 0.0320235, -0.23313, 37, 11.3069, 1, 0.00346184, -0.193718
38, 39, 38, 40, 38, 11.7057, 1, 0.0320235, -0.23313, 38, 11.7057, 0, 0.0242995, -0.212993, 38.6246, 12, 0, 0.0143712, -0.205949
39, 41, 39, 40, 38.6246, 12, 1, 0.0113349, -0.209238, 38, 11.7057, 1, 0.0320235, -0.23313, 38.6246, 12, 0, 0.0143712, -0.205949
40, 42, 43, 44, 20, 12.7187, 0, 0.0399057, -0.269457, 20, 12.7187, 1, 0.0327951, -0.241806, 19.5403, 13, 1, 0.0414768, -0.253541
41, 45, 42, 44, 19.5403, 13, 0, 0.118354, -0.379772, 20, 12.7187, 0, 0.0399057, -0.269457, 19.5403, 13, 1, 0.0414768, -0.253541
42, 46, 47, 42, 21, 12.1836, 0, 0.0867629, -0.364568, 21, 12.1836, 1, 0.164233, -0.46967, 20, 12.7187, 0, 0.0399057, -0.269457
43, 42, 47, 43, 20, 12.7187, 0, 0.0399057, -0.269457, 21, 12.1836, 1, 0.164233, -0.46967, 20, 12.7187, 1, 0.0327951, -0.241806
44, 32, 46, 33, 21.3754, 12, 1, -0.0121986, -0.222009, 21, 12.1836, 0, 0.0867629, -0.364568, 21.3754, 12, 0, -0.00872976, -0.233616
45, 47, 46, 32, 21, 12.1836, 1, 0.164233, -0.46967, 21, 12.1836, 0, 0.0867629, -0.364568, 21.3754, 12, 1, -0.0121986, -0.222009
46, 40, 48, 41, 38.6246, 12, 0, 0.0143712, -0.205949, 39, 12.1836, 1, 0.107962, -0.442184, 38.6246, 12, 1, 0.0113349, -0.209238
47, 49, 48, 40, 39, 12.1836, 0, 0.130689, -0.441486, 39, 12.1836, 1, 0.107962, -0.442184, 38.6246, 12, 0, 0.0143712, -0.205949
48, 50, 51, 49, 40, 12.7187, 0, 0.201202, -0.513577, 40, 12.7187, 1, 0.103729, -0.427246, 39, 12.1836, 0, 0.130689, -0.441486
49, 49, 51, 48, 39, 12.1836, 0, 0.130689, -0.441486, 40, 12.7187, 1, 0.103729, -0.427246, 39, 12.1836, 1, 0.107962, -0.442184
50, 51, 50, 52, 40, 12.7187, 1, 0.103729, -0.427246, 40, 12.7187, 0, 0.201202, -0.513577, 40.4597, 13, 0, 0.125696, -0.524631
51, 53, 51, 52, 40.4597, 13, 1, 0.506839, -0.950006, 40, 12.7187, 1, 0.103729, -0.427246, 40.4597, 13, 0, 0.125696, -0.524631
52, 54, 55, 56, 19, 13.3437, 0, -0.0196438, -0.816144, 19, 13.3437, 1, -0.180775, -0.694744, 18.0619, 14, 1, -0.362688, -0.605006
53, 57, 54, 56, 18.0619, 14, 0, -0.126753, -0.362427, 19, 13.3437, 0, -0.0196438, -0.816144, 18.0619, 14, 1, -0.362688, -0.605006
54, 44, 54, 45, 19.5403, 13, 1, 0.0414768, -0.253541, 19, 13.3437, 0, -0.0196438, -0.816144, 19.5403, 13, 0, 0.118354, -0.379772
55, 55, 54, 44, 19, 13.3437, 1, -0.180775, -0.694744, 19, 13.3437, 0, -0.0196438, -0.816144, 19.5403, 13, 1, 0.0414768, -0.253541
56, 52, 58, 53, 40.4597, 13, 0, 0.125696, -0.524631, 41, 13.3437, 1, -0.201859, -0.618695, 40.4597, 13, 1, 0.506839, -0.950006
57, 59, 58, 52, 41, 13.3437, 0, -0.406943, -0.601945, 41, 13.3437, 1, -0.201859, -0.618695, 40.4597, 13, 0, 0.125696, -0.524631
58, 58, 59, 60, 41, 13.3437, 1, -0.201859, -0.618695, 41, 13.3437, 0, -0.406943, -0.601945, 41.9381, 14, 0, -0.300803, -0.465121
59, 61, 58, 60, 41.9381, 14, 1, -0.26762, -0.923716, 41, 13.3437, 1, -0.201859, -0.618695, 41.9381, 14, 0, -0.300803, -0.465121
60, 62, 63, 64, 17, 14.8474, 0, 0.136577, -0.578609, 17, 14.8474, 1, 0.0704814, -0.407774, 16.8262, 15, 1, 0.0197489, -0.355773
61, 65, 62, 64, 16.8262, 15, 0, -0.0250223, -0.41434, 17, 14.8474, 0, 0.136577, -0.578609, 16.8262, 15, 1, 0.0197489, -0.355773
62, 66, 67, 62, 18, 14.0462, 0, 0.0965805, -0.457625, 18, 14.0462, 1, 0.0763321, -0.388864, 17, 14.8474, 0, 0.136577, -0.578609
63, 62, 67, 63, 17, 14.8474, 0, 0.136577, -0.578609, 18, 14.0462, 1, 0.0763321, -0.388864, 17, 14.8474, 1, 0.0704814, -0.407774
64, 56, 66, 57, 18.0619, 14, 1, -0.362688, -0.605006, 18, 14.0462, 0, 0.0965805, -0.457625, 18.0619, 14, 0, -0.126753, -0.362427
65, 67, 66, 56, 18, 14.0462, 1, 0.0763321, -0.388864, 18, 14.0462, 0, 0.0965805, -0.457625, 18.0619, 14, 1, -0.362688, -0.605006
66, 60, 68, 61, 41.9381, 14, 0, -0.300803, -0.465121, 42, 14.0462, 1, 0.110695, -0.422497, 41.9381, 14, 1, -0.26762, -0.923716
67, 69, 68, 60, 42, 14.0462, 0, 0.0766447, -0.390168, 42, 14.0462, 1, 0.110695, -0.422497, 41.9381, 14, 0, -0.300803, -0.465121
68, 70, 71, 69, 43, 14.8474, 0, 0.110342, -0.397789, 43, 14.8474, 1, 0.0898535, -0.339722, 42, 14.0462, 0, 0.0766447, -0.390168
69, 69, 71, 68, 42, 14.0462, 0, 0.0766447, -0.390168, 43, 14.8474, 1, 0.0898535, -0.339722, 42, 14.0462, 1, 0.110695, -0.422497
70, 71, 70, 72, 43, 14.8474, 1, 0.0898535, -0.339722, 43, 14.8474, 0, 0.110342, -0.397789, 43.1738, 15, 0, 0.107399, -0.358297
71, 73, 71, 72, 43.1738, 15, 1, 0.0904836, -0.331873, 43, 14.8474, 1, 0.0898535, -0.339722, 43.1738, 15, 0, 0.107399, -0.358297
72, 74, 75, 76, 16, 15.7677, 0, 0.0599431, -0.287323, 16, 15.7677, 1, 0.0533506, -0.27583, 15.7677, 16, 1, 0.0401968, -0.242152
73, 77, 74, 76, 15.7677, 16, 0, 0.0377186, -0.222484, 16, 15.7677, 0, 0.0599431, -0.287323, 15.7677, 16, 1, 0.0401968, -0.242152
74, 64, 74, 65, 16.8262, 15, 1, 0.0197489, -0.355773, 16, 15.7677, 0, 0.0599431, -0.287323, 16.8262, 15, 0, -0.0250223, -0.41434
75, 75, 74, 64, 16, 15.7677, 1, 0.0533506, -0.27583, 16, 15.7677, 0, 0.0599431, -0.287323, 16.8262, 15, 1, 0.0197489, -0.355773
76, 72, 78, 73, 43.1738, 15, 0, 0.107399, -0.358297, 44, 15.7677, 1, 0.0320626, -0.209093, 43.1738, 15, 1, 0.0904836, -0.331873
77, 79, 78, 72, 44, 15.7677, 0, 0.0270687, -0.193884, 44, 15.7677, 1, 0.0320626, -0.209093, 43.1738, 15, 0, 0.107399, -0.358297
78, 78, 79, 80, 44, 15.7677, 1, 0.0320626, -0.209093, 44, 15.7677, 0, 0.0270687, -0.193884, 44.2323, 16, 0, 0.0333385, -0.205769
79, 81, 78, 80, 44.2323, 16, 1, 0.0297688, -0.193493, 44, 15.7677, 1, 0.0320626, -0.209093, 44.2323, 16, 0, 0.0333385, -0.205769
80, 82, 83, 84, 15, 16.8262, 0, 0.0256982, -0.180652, 15, 16.8262, 1, 0.0255041, -0.177486, 14.8474, 17, 1, 0.0195725, -0.16532
