TriangleID, VertexID1, VertexID2, VertexID3, X1, Y1, Z1, GaussianCurvature1, MeanCurvature1,  X2, Y2, Z2, GaussianCurvature2, MeanCurvature2, X3, Y3, Z3, GaussianCurvature3, MeanCurvature3
0, 1, 2, 3, 28, 25, 16, 0.0215913, -0.179267, 29, 25, 15.8717, 0.0107595, -0.152894, 29, 24.7209, 16, -0.0264977, -0.240441
1, 2, 4, 5, 29, 25, 15.8717, 0.0107595, -0.152894, 30, 25, 15.8329, -0.0936478, -0.242299, 30, 24.6308, 16, 0.00030728, -0.172965
2, 3, 2, 5, 29, 24.7209, 16, -0.0264977, -0.240441, 29, 25, 15.8717, 0.0107595, -0.152894, 30, 24.6308, 16, 0.00030728, -0.172965
3, 4, 6, 7, 30, 25, 15.8329, -0.0936478, -0.242299, 31, 25, 15.8717, 0.0138174, -0.135374, 31, 24.7209, 16, 0.00103377, -0.0731315
4, 5, 4, 7, 30, 24.6308, 16, 0.00030728, -0.172965, 30, 25, 15.8329, -0.0936478, -0.242299, 31, 24.7209, 16, 0.00103377, -0.0731315
5, 7, 6, 8, 31, 24.7209, 16, 0.00103377, -0.0731315, 31, 25, 15.8717, 0.0138174, -0.135374, 32, 25, 16, -0.00247058, -0.0256635
6, 9, 10, 11, 27, 26, 15.8329, -0.00812588, -0.0114819, 27, 25.5523, 16, -0.0140577, 0.0302127, 26.4273, 26, 16, -0.0175191, 0.0497048
7, 1, 10, 9, 28, 25, 16, 0.0215913, -0.179267, 27, 25.5523, 16, -0.0140577, 0.0302127, 27, 26, 15.8329, -0.00812588, -0.0114819
8, 1, 9, 12, 28, 25, 16, 0.0215913, -0.179267, 27, 26, 15.8329, -0.00812588, -0.0114819, 28, 26, 15.6599, -0.0230632, 0.0639903
9, 2, 1, 13, 29, 25, 15.8717, 0.0107595, -0.152894, 28, 25, 16, 0.0215913, -0.179267, 29, 26, 15.5673, -0.0299852, 0.0703308
10, 13, 1, 12, 29, 26, 15.5673, -0.0299852, 0.0703308, 28, 25, 16, 0.0215913, -0.179267, 28, 26, 15.6599, -0.0230632, 0.0639903
