TriangleID, VertexID1, VertexID2, VertexID3, X1, Y1, Z1, GaussianCurvature1, MeanCurvature1,  X2, Y2, Z2, GaussianCurvature2, MeanCurvature2, X3, Y3, Z3, GaussianCurvature3, MeanCurvature3
0, 0, 33, 45, 30, 30, 15, -0.00411739, 0.0596345, 30, 30, 15, -0.831858, 0.0922881, 30, 30, 15, -0.29123, -0.0269882
1, 33, 0, 46, 30, 30, 15, -0.831858, 0.0922881, 30, 30, 15, -0.00411739, 0.0596345, 30, 30, 15, -0.39579, -0.0296884
2, 0, 45, 47, 30, 30, 15, -0.00411739, 0.0596345, 30, 30, 15, -0.29123, -0.0269882, 30, 30, 15, -0.405686, -0.100817
3, 46, 0, 47, 30, 30, 15, -0.39579, -0.0296884, 30, 30, 15, -0.00411739, 0.0596345, 30, 30, 15, -0.405686, -0.100817
4, 1, 106, 120, 28, 25, 16, -0.0175935, -0.00274633, 28, 25, 16, 1.87451, -1.72239, 28, 25, 16, 0.609124, -1.0153
5, 1, 2, 107, 28, 25, 16, -0.0175935, -0.00274633, 29, 25, 15.8717, -0.121462, -0.00895992, 29, 24.7209, 16, 1.70089, -1.65066
6, 106, 1, 107, 28, 25, 16, 1.87451, -1.72239, 28, 25, 16, -0.0175935, -0.00274633, 29, 24.7209, 16, 1.70089, -1.65066
7, 2, 3, 108, 29, 25, 15.8717, -0.121462, -0.00895992, 30, 25, 15.8329, -0.0344407, -0.0418373, 30, 24.6308, 16, 1.4572, -1.47902
8, 107, 2, 108, 29, 24.7209, 16, 1.70089, -1.65066, 29, 25, 15.8717, -0.121462, -0.00895992, 30, 24.6308, 16, 1.4572, -1.47902
9, 3, 4, 109, 30, 25, 15.8329, -0.0344407, -0.0418373, 31, 25, 15.8717, -0.0528053, -0.194238, 31, 24.7209, 16, 1.28808, -1.38996
10, 108, 3, 109, 30, 24.6308, 16, 1.4572, -1.47902, 30, 25, 15.8329, -0.0344407, -0.0418373, 31, 24.7209, 16, 1.28808, -1.38996
11, 4, 5, 110, 31, 25, 15.8717, -0.0528053, -0.194238, 32, 25, 16, -0.02764, -0.0236511, 32, 25, 16, 1.10731, -1.28718
12, 109, 4, 110, 31, 24.7209, 16, 1.28808, -1.38996, 31, 25, 15.8717, -0.0528053, -0.194238, 32, 25, 16, 1.10731, -1.28718
13, 110, 5, 121, 32, 25, 16, 1.10731, -1.28718, 32, 25, 16, -0.02764, -0.0236511, 32, 25, 16, 0.659093, -1.03554
14, 6, 122, 130, 27, 26, 15.8329, -0.0314988, 0.040409, 27, 25.5523, 16, 0.654045, -1.02807, 26.4273, 26, 16, 1.65008, -1.64642
15, 120, 122, 6, 28, 25, 16, 0.609124, -1.0153, 27, 25.5523, 16, 0.654045, -1.02807, 27, 26, 15.8329, -0.0314988, 0.040409
16, 120, 6, 1, 28, 25, 16, 0.609124, -1.0153, 27, 26, 15.8329, -0.0314988, 0.040409, 28, 25, 16, -0.0175935, -0.00274633
17, 1, 6, 7, 28, 25, 16, -0.0175935, -0.00274633, 27, 26, 15.8329, -0.0314988, 0.040409, 28, 26, 15.6599, -1.06714, 0.737399
18, 2, 1, 8, 29, 25, 15.8717, -0.121462, -0.00895992, 28, 25, 16, -0.0175935, -0.00274633, 29, 26, 15.5673, -1.72823, 0.653224
19, 8, 1, 7, 29, 26, 15.5673, -1.72823, 0.653224, 28, 25, 16, -0.0175935, -0.00274633, 28, 26, 15.6599, -1.06714, 0.737399
20, 3, 2, 9, 30, 25, 15.8329, -0.0344407, -0.0418373, 29, 25, 15.8717, -0.121462, -0.00895992, 30, 26, 15.5375, -2.22436, 0.538548
21, 9, 2, 8, 30, 26, 15.5375, -2.22436, 0.538548, 29, 25, 15.8717, -0.121462, -0.00895992, 29, 26, 15.5673, -1.72823, 0.653224
22, 4, 3, 10, 31, 25, 15.8717, -0.0528053, -0.194238, 30, 25, 15.8329, -0.0344407, -0.0418373, 31, 26, 15.5673, -1.55384, 0.196083
23, 10, 3, 9, 31, 26, 15.5673, -1.55384, 0.196083, 30, 25, 15.8329, -0.0344407, -0.0418373, 30, 26, 15.5375, -2.22436, 0.538548
24, 5, 4, 11, 32, 25, 16, -0.02764, -0.0236511, 31, 25, 15.8717, -0.0528053, -0.194238, 32, 26, 15.6599, -1.37433, 0.00653571
25, 11, 4, 10, 32, 26, 15.6599, -1.37433, 0.00653571, 31, 25, 15.8717, -0.0528053, -0.194238, 31, 26, 15.5673, -1.55384, 0.196083
