TriangleID, VertexID1, VertexID2, VertexID3, X1, Y1, Z1, GaussianCurvature1, MeanCurvature1,  X2, Y2, Z2, GaussianCurvature2, MeanCurvature2, X3, Y3, Z3, GaussianCurvature3, MeanCurvature3
0, 0, 1, 2, 30, 24, 10.9904, 0.0260288, -0.563677, 30, 23.9742, 11, -0.00259654, -0.113678, 29.6729, 24, 11, 0.0421941, -0.431955
1, 1, 0, 3, 30, 23.9742, 11, -0.00259654, -0.113678, 30, 24, 10.9904, 0.0260288, -0.563677, 30.3271, 24, 11, 0.585334, -0.942811
2, 4, 5, 6, 27, 25, 10.9327, 0.121078, -0.506444, 27, 24.7863, 11, -0.143729, -0.259503, 26.6666, 25, 11, -0.099903, -0.204808
3, 4, 7, 8, 27, 25, 10.9327, 0.121078, -0.506444, 28, 25, 10.7963, -0.0730552, 0.0227241, 28, 24.3339, 11, -0.0241633, 0.100061
4, 5, 4, 8, 27, 24.7863, 11, -0.143729, -0.259503, 27, 25, 10.9327, 0.121078, -0.506444, 28, 24.3339, 11, -0.0241633, 0.100061
5, 7, 9, 10, 28, 25, 10.7963, -0.0730552, 0.0227241, 29, 25, 10.7194, -0.0240878, 0.0462372, 29, 24.0617, 11, -0.000724706, -0.0386527
6, 8, 7, 10, 28, 24.3339, 11, -0.0241633, 0.100061, 28, 25, 10.7963, -0.0730552, 0.0227241, 29, 24.0617, 11, -0.000724706, -0.0386527
7, 2, 10, 9, 29.6729, 24, 11, 0.0421941, -0.431955, 29, 24.0617, 11, -0.000724706, -0.0386527, 29, 25, 10.7194, -0.0240878, 0.0462372
8, 2, 9, 0, 29.6729, 24, 11, 0.0421941, -0.431955, 29, 25, 10.7194, -0.0240878, 0.0462372, 30, 24, 10.9904, 0.0260288, -0.563677
9, 0, 9, 11, 30, 24, 10.9904, 0.0260288, -0.563677, 29, 25, 10.7194, -0.0240878, 0.0462372, 30, 25, 10.6946, -0.0113212, 0.107335
10, 12, 3, 0, 31, 24.0617, 11, 0.0363525, 0.204332, 30.3271, 24, 11, 0.585334, -0.942811, 30, 24, 10.9904, 0.0260288, -0.563677
11, 12, 0, 13, 31, 24.0617, 11, 0.0363525, 0.204332, 30, 24, 10.9904, 0.0260288, -0.563677, 31, 25, 10.7194, 0.0459115, 0.261737
12, 13, 0, 11, 31, 25, 10.7194, 0.0459115, 0.261737, 30, 24, 10.9904, 0.0260288, -0.563677, 30, 25, 10.6946, -0.0113212, 0.107335
13, 13, 14, 15, 31, 25, 10.7194, 0.0459115, 0.261737, 32, 25, 10.7963, -0.0102535, 0.102485, 32, 24.3339, 11, -0.0222338, 0.000740889
14, 12, 13, 15, 31, 24.0617, 11, 0.0363525, 0.204332, 31, 25, 10.7194, 0.0459115, 0.261737, 32, 24.3339, 11, -0.0222338, 0.000740889
15, 14, 16, 17, 32, 25, 10.7963, -0.0102535, 0.102485, 33, 25, 10.9327, -0.031766, -0.0323614, 33, 24.7863, 11, -0.0350176, -0.0533244
16, 15, 14, 17, 32, 24.3339, 11, -0.0222338, 0.000740889, 32, 25, 10.7963, -0.0102535, 0.102485, 33, 24.7863, 11, -0.0350176, -0.0533244
17, 17, 16, 18, 33, 24.7863, 11, -0.0350176, -0.0533244, 33, 25, 10.9327, -0.031766, -0.0323614, 33.3334, 25, 11, 0.00819923, -0.132198
18, 19, 20, 21, 26, 26, 10.8768, 0.0562082, -0.239883, 26, 25.5182, 11, 0.0469438, -0.239772, 25.5182, 26, 11, 0.0348741, -0.202241
19, 6, 20, 19, 26.6666, 25, 11, -0.099903, -0.204808, 26, 25.5182, 11, 0.0469438, -0.239772, 26, 26, 10.8768, 0.0562082, -0.239883
20, 6, 19, 4, 26.6666, 25, 11, -0.099903, -0.204808, 26, 26, 10.8768, 0.0562082, -0.239883, 27, 25, 10.9327, 0.121078, -0.506444
